group_name,rows,name_count,account_display,spend,purchases,cost_per_purchase,checkouts,cost_per_checkout,landing_page_views,cost_per_lpv,inline_link_clicks,cpc,cpm,ctr_pct,connect_rate,sample_ok,operational_winner,names
MSAD268,5,1,Consolidado,51.37,3.0,17.12333333333333,2.0,25.685,33.0,1.5566666666666666,43.0,1.1946511627906977,28.82716049382716,2.4130190796857462,0.7674418604651163,False,False,MSAD268
MSAD163,1,1,Consolidado,85.44,2.0,42.72,2.0,42.72,64.0,1.335,65.0,1.3144615384615383,22.802241793434746,1.7347211102215105,0.9846153846153847,False,False,MSAD163
AD48,12,1,Consolidado,1210.44,24.0,50.435,45.0,26.898666666666667,727.0,1.6649793672627236,788.0,1.5360913705583756,26.128175793813543,1.7009519286808987,0.9225888324873096,True,True,AD048
MSAD223,1,1,Consolidado,155.12,3.0,51.70666666666667,5.0,31.024,50.0,3.1024000000000003,61.0,2.5429508196721313,49.38554600445718,1.942056669850366,0.819672131147541,True,True,MSAD223
182_175_206_260_267_48_25_19_11_481,12,1,Consolidado,3366.82,64.0,52.60656250000001,111.0,30.331711711711716,2616.0,1.2870107033639147,2749.0,1.2247435431065845,32.07747787231205,2.6191179412913614,0.9516187704619862,True,True,182_175_206_260_267_48_25_19_11_481
MSAD349,1,1,Consolidado,52.93,1.0,52.93,3.0,17.643333333333334,31.0,1.7074193548387098,31.0,1.7074193548387098,20.57931570762053,1.2052877138413685,1.0,False,False,MSAD349
MSAD444,1,1,Consolidado,479.08,9.0,53.23111111111111,15.0,31.938666666666666,334.0,1.4343712574850298,392.0,1.2221428571428572,44.029041448396285,3.602610054222957,0.8520408163265306,True,True,MSAD444
MSAD218,1,1,Consolidado,167.26,3.0,55.75333333333333,10.0,16.726,68.0,2.459705882352941,72.0,2.3230555555555554,38.039572435751644,1.6374801000682282,0.9444444444444444,True,True,MSAD218
MSAD347,1,1,Consolidado,123.18,2.0,61.59,4.0,30.795,71.0,1.7349295774647888,84.0,1.4664285714285714,17.472340425531915,1.1914893617021276,0.8452380952380952,False,False,MSAD347
MSAD167,1,1,Consolidado,61.78,1.0,61.78,4.0,15.445,49.0,1.2608163265306123,53.0,1.1656603773584906,28.869158878504674,2.4766355140186915,0.9245283018867925,False,False,MSAD167 - Hook 02
MSAD248,30,1,Consolidado,5963.77,94.0,63.44436170212767,218.0,27.35674311926606,3118.0,1.9126908274534962,3408.0,1.7499325117370896,36.597425071798526,2.0913620854709247,0.914906103286385,True,True,MSAD248 h3
MSAD431,1,1,Consolidado,65.2,1.0,65.2,3.0,21.733333333333334,31.0,2.103225806451613,33.0,1.9757575757575758,24.43778110944528,1.23688155922039,0.9393939393939394,False,False,MSAD431 hook1
MSAD19,12,1,Consolidado,1918.15,29.0,66.14310344827585,59.0,32.51101694915254,1514.0,1.2669418758256275,1621.0,1.1833127698951265,20.72174749100651,1.7511640217356077,0.9339913633559531,True,True,MSAD19
MSAD433,1,1,Consolidado,540.69,8.0,67.58625,31.0,17.44161290322581,221.0,2.446561085972851,243.0,2.2250617283950618,29.16972378075097,1.3109624514458351,0.9094650205761317,True,True,MSAD433 hook3_1
MSAD475,1,1,Consolidado,487.42,7.0,69.63142857142857,13.0,37.49384615384616,155.0,3.1446451612903226,173.0,2.817456647398844,27.04133148404993,0.9597780859916782,0.8959537572254336,True,True,MSAD475
MSAD478,1,1,Consolidado,139.99,2.0,69.995,1.0,139.99,49.0,2.8569387755102045,52.0,2.6921153846153847,34.42941465814068,1.278898180029513,0.9423076923076923,False,False,MSAD478
MSAD477,1,1,Consolidado,144.75,2.0,72.375,3.0,48.25,53.0,2.731132075471698,59.0,2.4533898305084745,28.63501483679525,1.1671612265084075,0.8983050847457628,False,False,MSAD477
MSAD274,114,1,Consolidado,6674.44,92.0,72.54826086956524,215.0,31.043906976744196,2526.0,2.642296120348378,2838.0,2.351811134601833,41.12307768138803,1.7485705835962144,0.8900634249471459,True,True,MSAD274 hook 3
MSAD175,183,2,Consolidado,35699.5,488.0,73.15471311475412,1753.0,20.364803194523677,36257.0,0.9846236588796649,39387.0,0.9063777388478433,32.14789680470645,3.5468541896860537,0.9205321552796608,True,True,MSAD175 | MSAD175 - HK1
MSAD156,1,1,Consolidado,73.53,1.0,73.53,4.0,18.3825,51.0,1.441764705882353,55.0,1.3369090909090908,25.845342706502638,1.9332161687170473,0.9272727272727272,False,False,MSAD156
MSAD348,1,1,Consolidado,221.73,3.0,73.91,7.0,31.675714285714285,55.0,4.031454545454546,58.0,3.8229310344827585,58.674252447737494,1.5347975654935169,0.9482758620689655,True,True,MSAD348
MSAD241,92,1,Consolidado,14059.8,190.0,73.99894736842109,422.0,33.31706161137442,4757.0,2.95560227033845,5225.0,2.6908708133971304,29.545277836733764,1.0979820246158114,0.9104306220095694,True,True,MSAD241 h2
AD2,104,1,Consolidado,8463.66,114.0,74.24263157894734,231.0,36.639220779220764,4139.0,2.0448562454699193,4649.0,1.820533448053344,32.513647137462485,1.7859406632835342,0.8902989890298989,True,True,AD02
AD3,112,1,Consolidado,12221.42,164.0,74.52085365853658,422.0,28.96071090047393,7846.0,1.5576625031863367,8725.0,1.400735816618911,23.355010328900473,1.6673386981190128,0.8992550143266476,True,True,AD03
MSAD439,15,1,Consolidado,5716.55,76.0,75.21776315789474,219.0,26.10296803652968,3806.0,1.5019837099316868,4110.0,1.3908880778588808,24.88280178811608,1.7889866326570587,0.9260340632603407,True,False,MSAD439
MSAD424,16,1,Consolidado,1672.67,22.0,76.03045454545455,47.0,35.58872340425532,760.0,2.2008815789473686,812.0,2.0599384236453204,26.419895436811927,1.2825575334460046,0.9359605911330049,True,False,MSAD424 hook3_1
MSAD481,142,1,Consolidado,25043.51,329.0,76.12009118541035,610.0,41.054934426229515,15376.0,1.628740244536941,16425.0,1.5247190258751906,33.02024316053316,2.165660859487177,0.9361339421613394,True,False,MSAD481
MSAD242,36,1,Consolidado,2976.39,39.0,76.31769230769231,77.0,38.65441558441559,1233.0,2.4139416058394163,1365.0,2.180505494505495,32.37212185810774,1.48461546827926,0.9032967032967033,True,False,MSAD 242 H3
MSAD415,31,1,Consolidado,2163.95,28.0,77.28392857142856,79.0,27.39177215189873,749.0,2.8891188251001334,832.0,2.600901442307692,48.151980418335555,1.8513573653760569,0.9002403846153846,True,False,MSAD415 hook3
MSAD421,113,1,Consolidado,8700.28,112.0,77.68107142857141,247.0,35.22380566801619,2602.0,3.343689469638739,2857.0,3.0452502625131253,58.732498953650065,1.928659186952354,0.9107455372768638,True,False,MSAD421 hook3_1
MSAD441,1,1,Consolidado,79.5,1.0,79.5,1.0,79.5,33.0,2.409090909090909,44.0,1.8068181818181819,52.50990752972259,2.906208718626156,0.75,False,False,MSAD441
MSAD479,1,1,Consolidado,159.9,2.0,79.95,0,,58.0,2.756896551724138,66.0,2.422727272727273,35.042735042735046,1.4464168310322156,0.8787878787878788,False,False,MSAD479
MSAD208 / MSAD260 / MSAD261,271,3,Consolidado,54127.05,673.0,80.42652303120347,1613.0,33.55675759454429,31675.0,1.7088255722178354,34562.0,1.5660855853249216,31.292105438116202,1.9981095370100046,0.91646895434292,True,False,MSAD208 - Hook 3 | MSAD260 (MSAD208 - E3) | MSAD261 (MSAD208 - H2)
MSAD402,1,1,Consolidado,80.88,1.0,80.88,2.0,40.44,18.0,4.493333333333333,20.0,4.044,52.21433182698515,1.2911555842479019,0.9,False,False,MSAD402
