account_name,campaign_name,adset_name,ad_name,spend,impressions,inline_link_clicks,ctr_pct,cpc,cpm,landing_page_views,cost_per_lpv,connect_rate,checkouts,cost_per_checkout,purchases,cost_per_purchase,ad_id,campaign_id,adset_id
CONTA - DM,[K] [MS] [CBO] [LEAD15]  [ESCALA] [MELHORES-PUBLICOS] - 20122025,AUTO_INCREMENTAL_ABERTO,MSAD 242 H3,34.8,1267.0,19.0,1.499605,1.242857,27.466456,16.0,2.175,0.8421052631578947,2.0,17.4,0.0,0.0,120239017638930546,120239017439260546,120239017439350546
CONTA - DM,[K] [MS] [CBO] [LEAD16] [ESCALA] [MELHORES-PUBLICOS] - 02012026,AUTO_COLD_INCREMENTAL_ABERTO,MSAD421 hook3_1,39.39,599.0,11.0,1.836394,2.626,65.759599,11.0,3.580909,1.0,1.0,39.39,0.0,0.0,120239501372840546,120239501373120546,120239501373090546
CONTA - DM,[01] [CBO] [ESCALA] [AULA EXCLUSIVA 13] [MS]  [QUENTE] - 23/11/25,[QUENTE],MSAD268,2.7,49.0,3.0,6.122449,0.54,55.102041,1.0,2.7,0.3333333333333333,0.0,,1.0,2.7,120237285744500546,120237285744430546,120237285744720546
CONTA - DM,[K]  [MS] [CBO] [LEAD13]  [TESTE] [PUBLICOS] [LL] - 12122025,AUTO_COLD_LL3_ENV180D,AD02,3.08,61.0,4.0,6.557377,1.026667,50.491803,4.0,0.77,1.0,0.0,,1.0,3.08,120238522320460546,120238521763660546,120238522320970546
CONTA - DM,[K] [MS] [CBO] [LEAD16]  [ESCALA] [MELHORES-PUBLICOS] - 20122025,AUTO_COLD_EMPODERAMENTO,MSAD421 hook3_1,3.57,55.0,1.0,1.818182,3.57,64.909091,0.0,,0.0,0.0,,1.0,3.57,120239525016960546,120239017439270546,120239017439290546
CONTA - DM,[K] [MS] [CBO] [LEAD13]  [ESCALA] [MELHORES-PUBLICOS] - 17122025,AUTO_PADRAO_INTERESSES_MISTO,AD03,5.06,213.0,3.0,1.408451,1.686667,23.755869,4.0,1.265,1.3333333333333333,0.0,,1.0,5.06,120238855240660546,120238855240530546,120238855240840546
CONTA - DM,[01] [CBO] [ESCALA] [AULA EXCLUSIVA 13] [MS]  [QUENTE] - 23/11/25,[QUENTE],MSAD268,5.85,189.0,5.0,2.645503,0.975,30.952381,4.0,1.4625,0.8,2.0,2.925,1.0,5.85,120237285980740546,120237285744430546,120237285980570546
CONTA - DM,[K] [MS] [CBO] [LEAD13]  [ESCALA] [MELHORES-ADS] - 09122024,AUTO_COLD_PADRAO_MUNDO,AD11,6.51,302.0,9.0,2.980132,0.651,21.556291,9.0,0.723333,1.0,1.0,6.51,1.0,6.51,120238305857190546,120238292469090546,120238305856940546
CONTA - DM,[K] [MS] [ABO] [LEAD16] [ESCALA] [MELHORES-PUBLICOS] - 14012026,AUTO_HOT_180D,AD02,13.4,471.0,8.0,1.698514,1.030769,28.450106,8.0,1.675,1.0,2.0,6.7,2.0,6.7,120240117920630546,120240117050250546,120240117050200546
CONTA - DM,[K] [MS] [CBO] [LEAD13] [ESCALA] [TICKET] [147-V] [MELHORES-ADS-PUBLICOS- 16022026,AUTO_COLD_EMPODERAMENTO,AD048,13.54,630.0,14.0,2.222222,0.752222,21.492063,11.0,1.230909,0.7857142857142857,1.0,13.54,2.0,6.77,120241295006080546,120241294362850546,120241294362980546
CONTA - DM[2],[K] [MS] [CBO] [LEAD13] [147] [ESCALA] [1-10] - MISTO - 01022026,AUTO_COLD_MUNDO,MISTO,13.85,489.0,14.0,2.862986,0.629545,28.323108,13.0,1.065385,0.9285714285714286,1.0,13.85,2.0,6.925,120241959955840666,120241959955690666,120241959955710666
CONTA - DM,[K] [MS] [CBO] [LEAD13] [ESCALA] [LANCE]  [INTERESSES_MISTO] - 08012026,AUTO_PADRAO_INTERESSES_MISTO_711,AD20,7.45,314.0,3.0,0.955414,1.241667,23.726115,3.0,2.483333,1.0,1.0,7.45,1.0,7.45,120239780454110546,120239780454290546,120239780454270546
